iter	Passed	Remaining
163	790	4031
164	796	4028
165	800	4022
166	805	4018
167	810	4014
168	815	4011
169	820	4007
170	825	4000
171	829	3995
172	834	3989
173	839	3983
174	844	3980
175	848	3974
176	853	3969
177	858	3964
178	863	3958
179	867	3951
180	872	3948
181	876	3941
182	881	3935
183	886	3933
184	891	3927
185	896	3922
186	901	3920
187	906	3915
188	911	3909
189	915	3904
190	920	3897
191	924	3890
192	928	3883
193	933	3880
194	938	3874
195	943	3869
196	948	3865
197	952	3859
198	957	3854
199	963	3852
200	967	3846
201	973	3844
202	979	3844
203	984	3839
204	989	3836
205	994	3833
206	999	3829
207	1004	3826
208	1010	3824
209	1015	3821
210	1022	3821
211	1032	3836
212	1040	3844
213	1047	3847
214	1054	3850
215	1060	3847
216	1065	3843
217	1070	3839
218	1075	3834
219	1079	3827
220	1084	3822
221	1089	3816
222	1093	3810
223	1098	3804
224	1102	3798
225	1107	3793
226	1112	3789
227	1118	3785
228	1123	3781
229	1128	3778
230	1133	3773
231	1138	3768
232	1144	3765
233	1148	3760
234	1154	3756
235	1159	3752
236	1163	3747
237	1168	3741
238	1174	3738
239	1179	3734
240	1184	3729
241	1189	3725
242	1194	3721
243	1199	3716
244	1204	3711
245	1209	3706
246	1214	3701
247	1219	3696
248	1224	3694
249	1230	3691
250	1235	3687
251	1241	3683
252	1245	3678
253	1250	3673
254	1259	3680
255	1264	3676
256	1270	3672
257	1274	3666
258	1280	3662
259	1285	3657
260	1290	3652
261	1295	3648
262	1299	3642
263	1305	3638
264	1310	3633
265	1315	3629
266	1320	3623
267	1324	3618
268	1329	3613
269	1334	3607
270	1339	3602
271	1344	3597
272	1349	3593
273	1354	3589
274	1359	3584
275	1364	3579
276	1369	3575
277	1374	3568
278	1379	3563
279	1384	3559
280	1389	3555
281	1394	3550
282	1399	3545
283	1404	3541
284	1409	3535
285	1414	3530
286	1419	3526
287	1424	3520
288	1429	3515
289	1434	3510
290	1438	3505
291	1443	3500
292	1448	3495
293	1453	3489
294	1458	3485
295	1463	3479
296	1468	3476
297	1473	3471
298	1479	3467
299	1484	3463
300	1489	3458
301	1493	3451
302	1498	3447
303	1503	3442
304	1508	3437
305	1513	3432
306	1518	3427
307	1523	3422
308	1528	3417
309	1533	3412
310	1539	3409
311	1544	3405
312	1549	3401
313	1554	3395
314	1559	3390
315	1563	3385
316	1568	3380
317	1573	3374
318	1578	3369
319	1583	3364
320	1588	3360
321	1593	3355
322	1598	3350
323	1603	3346
324	1608	3341
325	1613	3336
326	1618	3331
327	1623	3326
328	1629	3322
329	1633	3317
330	1638	3311
331	1644	3307
332	1648	3302
333	1653	3297
334	1658	3292
335	1664	3288
336	1668	3283
337	1674	3279
338	1679	3275
339	1685	3271
340	1690	3266
341	1695	3262
342	1700	3258
343	1706	3254
344	1711	3248
345	1717	3245
346	1722	3240
347	1727	3236
348	1732	3231
349	1736	3225
350	1741	3220
351	1747	3216
352	1751	3210
353	1757	3207
354	1762	3202
355	1767	3197
356	1772	3193
357	1777	3187
358	1782	3182
359	1787	3177
360	1792	3172
361	1796	3167
362	1801	3161
363	1807	3157
364	1811	3151
365	1816	3146
366	1821	3141
367	1826	3136
368	1830	3130
369	1835	3125
370	1839	3119
371	1844	3114
372	1850	3109
373	1854	3104
374	1860	3100
375	1865	3096
376	1870	3091
377	1875	3086
378	1880	3082
379	1886	3077
380	1891	3072
381	1897	3069
382	1902	3064
383	1907	3060
384	1912	3055
385	1917	3050
386	1923	3046
387	1928	3041
388	1934	3037
389	1939	3033
390	1944	3028
391	1948	3022
392	1954	3018
393	1959	3013
394	1964	3008
395	1969	3003
396	1975	2999
397	1980	2994
398	1986	2991
399	1991	2987
400	1995	2981
401	2001	2976
402	2005	2971
403	2011	2966
404	2016	2963
405	2022	2959
406	2027	2954
407	2033	2949
408	2038	2945
409	2043	2940
410	2048	2935
411	2053	2930
412	2058	2925
413	2063	2921
414	2068	2916
415	2074	2911
416	2079	2906
417	2084	2902
418	2089	2897
419	2095	2893
420	2099	2887
421	2104	2882
422	2109	2877
423	2115	2873
424	2120	2868
425	2125	2864
426	2131	2859
427	2136	2854
428	2141	2850
429	2146	2844
430	2151	2840
431	2156	2835
432	2161	2829
433	2166	2825
434	2172	2821
435	2177	2816
436	2181	2810
437	2186	2805
438	2191	2800
439	2196	2794
440	2201	2791
441	2207	2786
442	2211	2780
443	2217	2776
444	2221	2770
445	2226	2765
446	2232	2761
447	2236	2755
448	2241	2750
449	2247	2746
450	2252	2741
451	2257	2736
452	2262	2731
453	2267	2726
454	2272	2722
455	2278	2718
456	2283	2713
457	2289	2709
458	2295	2705
459	2301	2701
460	2307	2698
461	2313	2693
462	2317	2688
463	2323	2684
464	2329	2680
465	2335	2676
466	2341	2671
467	2346	2667
468	2351	2662
469	2357	2658
470	2363	2654
471	2368	2650
472	2374	2645
473	2380	2641
474	2384	2636
475	2390	2631
476	2396	2627
477	2402	2624
478	2407	2618
479	2413	2614
480	2418	2609
481	2423	2604
482	2428	2599
483	2433	2594
484	2438	2589
485	2443	2584
486	2449	2579
487	2454	2574
488	2459	2570
489	2464	2565
490	2470	2560
491	2475	2556
492	2481	2551
493	2486	2546
494	2491	2541
495	2496	2536
496	2501	2531
497	2507	2527
498	2513	2523
499	2517	2517
500	2523	2513
501	2528	2508
502	2533	2503
503	2538	2498
504	2543	2493
505	2549	2488
506	2554	2483
507	2559	2479
508	2565	2474
509	2570	2469
510	2575	2464
511	2581	2460
512	2586	2455
513	2591	2450
514	2597	2445
515	2602	2440
516	2607	2435
517	2612	2431
518	2617	2425
519	2621	2420
520	2627	2415
521	2632	2410
522	2637	2405
523	2643	2401
524	2649	2396
525	2654	2391
526	2660	2387
527	2665	2382
528	2671	2378
529	2676	2373
530	2682	2369
531	2687	2364
532	2693	2359
533	2698	2355
534	2704	2350
535	2710	2345
536	2715	2341
537	2721	2337
538	2727	2332
539	2733	2328
540	2738	2323
541	2743	2318
542	2749	2314
543	2754	2309
544	2759	2303
545	2765	2299
546	2771	2294
547	2776	2289
548	2781	2285
549	2786	2280
550	2791	2275
551	2797	2270
552	2803	2265
553	2808	2260
554	2813	2255
555	2818	2250
556	2823	2245
557	2828	2240
558	2834	2235
559	2839	2231
560	2844	2226
561	2849	2220
562	2854	2215
563	2858	2210
564	2863	2204
565	2869	2200
566	2874	2194
567	2880	2190
568	2885	2185
569	2890	2180
570	2896	2175
571	2901	2170
572	2906	2166
573	2911	2161
574	2917	2156
575	2922	2151
576	2927	2145
577	2933	2141
578	2938	2136
579	2943	2131
580	2948	2126
581	2953	2121
582	2959	2116
583	2964	2112
584	2970	2107
585	2975	2101
586	2980	2097
587	2985	2092
588	2990	2087
589	2996	2082
590	3001	2077
591	3006	2072
592	3012	2067
593	3018	2062
594	3024	2058
595	3030	2054
596	3035	2049
597	3041	2044
598	3047	2039
599	3052	2035
600	3057	2029
601	3063	2025
602	3069	2020
603	3073	2015
604	3079	2010
605	3084	2005
606	3090	2000
607	3096	1996
608	3101	1990
609	3106	1985
610	3112	1981
611	3117	1976
612	3122	1971
613	3128	1966
614	3133	1961
615	3138	1956
616	3143	1951
617	3148	1945
618	3154	1941
619	3160	1937
620	3165	1932
621	3170	1926
622	3177	1922
623	3182	1917
624	3187	1912
625	3193	1907
626	3197	1902
627	3202	1897
628	3208	1892
629	3213	1887
630	3219	1882
631	3225	1878
632	3230	1872
633	3235	1868
634	3241	1863
635	3246	1857
636	3252	1853
637	3257	1848
638	3262	1843
639	3268	1838
640	3273	1833
641	3279	1828
642	3285	1823
643	3290	1818
644	3296	1814
645	3301	1808
646	3306	1803
647	3311	1798
648	3317	1794
649	3322	1789
650	3328	1784
651	3333	1779
652	3339	1774
653	3345	1770
654	3351	1765
655	3357	1760
656	3363	1756
657	3369	1751
658	3375	1746
659	3380	1741
660	3386	1736
661	3390	1731
662	3396	1726
663	3401	1721
664	3407	1716
665	3412	1711
666	3417	1705
667	3421	1700
668	3427	1695
669	3433	1691
670	3438	1685
671	3443	1680
672	3450	1676
673	3455	1671
674	3461	1666
675	3467	1661
676	3472	1656
677	3478	1652
678	3484	1647
679	3489	1642
680	3495	1637
681	3500	1632
682	3505	1626
683	3510	1621
684	3516	1616
685	3521	1611
686	3527	1607
687	3532	1602
688	3537	1596
689	3543	1591
690	3548	1586
691	3554	1582
692	3560	1577
693	3565	1572
694	3571	1567
695	3576	1562
696	3582	1557
697	3587	1552
698	3592	1547
699	3597	1541
700	3603	1536
701	3607	1531
702	3613	1526
703	3618	1521
704	3623	1516
705	3628	1511
706	3633	1505
707	3638	1500
708	3644	1495
709	3649	1490
710	3654	1485
711	3660	1480
712	3666	1475
713	3671	1470
714	3676	1465
715	3681	1460
716	3685	1454
717	3691	1449
718	3695	1444
719	3700	1439
720	3706	1434
721	3711	1429
722	3716	1423
723	3721	1418
724	3726	1413
725	3731	1408
726	3735	1402
727	3740	1397
728	3745	1392
729	3750	1387
730	3755	1381
731	3760	1376
732	3766	1371
733	3770	1366
734	3775	1361
735	3780	1356
736	3785	1351
737	3790	1345
738	3795	1340
739	3800	1335
740	3805	1329
741	3810	1324
742	3815	1319
743	3819	1314
744	3825	1309
745	3829	1303
746	3834	1298
747	3838	1293
748	3844	1288
749	3848	1282
750	3853	1277
751	3859	1272
752	3864	1267
753	3869	1262
754	3874	1257
755	3879	1252
756	3884	1247
757	3890	1242
758	3895	1236
759	3900	1231
760	3905	1226
761	3910	1221
762	3916	1216
763	3921	1211
764	3927	1206
765	3932	1201
766	3937	1196
767	3942	1190
768	3947	1185
769	3952	1180
770	3957	1175
771	3963	1170
772	3969	1165
773	3974	1160
774	3980	1155
775	3985	1150
776	3991	1145
777	3996	1140
778	4001	1135
779	4006	1130
780	4011	1124
781	4016	1119
782	4021	1114
783	4026	1109
784	4031	1104
785	4037	1099
786	4042	1094
787	4048	1089
788	4053	1084
789	4058	1078
790	4064	1073
791	4069	1068
792	4074	1063
793	4079	1058
794	4084	1053
795	4089	1048
796	4094	1042
797	4099	1037
798	4104	1032
799	4109	1027
800	4114	1022
801	4119	1017
802	4125	1012
803	4130	1007
804	4137	1002
805	4142	997
806	4148	992
807	4153	987
808	4158	981
809	4164	976
810	4170	971
811	4176	966
812	4181	961
813	4186	956
814	4191	951
815	4197	946
816	4201	941
817	4207	936
818	4213	931
819	4218	926
820	4223	920
821	4229	915
822	4234	910
823	4240	905
824	4246	900
825	4251	895
826	4256	890
827	4262	885
828	4267	880
829	4272	875
830	4277	869
831	4283	864
832	4288	859
833	4294	854
834	4298	849
835	4304	844
836	4308	839
837	4314	834
838	4319	828
839	4324	823
840	4329	818
841	4334	813
842	4340	808
843	4346	803
844	4351	798
845	4357	793
846	4362	788
847	4368	782
848	4374	777
849	4380	772
850	4385	767
851	4391	762
852	4395	757
853	4400	752
854	4405	747
855	4410	741
856	4415	736
857	4421	731
858	4426	726
859	4431	721
860	4436	716
861	4441	711
862	4446	705
863	4451	700
864	4457	695
865	4462	690
866	4467	685
867	4472	680
868	4477	674
869	4483	669
870	4488	664
871	4493	659
872	4499	654
873	4504	649
874	4508	644
875	4514	638
876	4519	633
877	4524	628
878	4530	623
879	4534	618
880	4540	613
881	4545	608
882	4551	603
883	4556	597
884	4561	592
885	4566	587
886	4571	582
887	4576	577
888	4582	572
889	4587	566
890	4592	561
891	4596	556
892	4602	551
893	4606	546
894	4612	541
895	4618	536
896	4623	530
897	4628	525
898	4634	520
899	4640	515
900	4645	510
901	4650	505
902	4656	500
903	4661	494
904	4666	489
905	4672	484
906	4678	479
907	4683	474
908	4688	469
909	4693	464
910	4699	459
911	4704	453
912	4709	448
913	4715	443
914	4720	438
915	4725	433
916	4730	428
917	4736	423
918	4741	417
919	4746	412
920	4752	407
921	4757	402
922	4762	397
923	4767	392
924	4771	386
925	4776	381
926	4781	376
927	4787	371
928	4792	366
929	4796	361
930	4802	355
931	4807	350
932	4813	345
933	4818	340
934	4823	335
935	4829	330
936	4833	324
937	4838	319
938	4843	314
939	4848	309
940	4853	304
941	4858	299
942	4863	293
943	4868	288
944	4873	283
945	4879	278
946	4884	273
947	4889	268
948	4894	263
949	4899	257
950	4904	252
951	4909	247
952	4914	242
953	4920	237
954	4925	232
955	4931	226
956	4937	221
957	4942	216
958	4946	211
959	4952	206
960	4956	201
961	4961	195
962	4966	190
963	4971	185
964	4976	180
965	4981	175
966	4986	170
967	4991	164
968	4996	159
969	5001	154
970	5006	149
971	5011	144
972	5016	139
973	5021	134
974	5027	128
975	5033	123
976	5038	118
977	5044	113
978	5049	108
979	5054	103
980	5059	97
981	5064	92
982	5070	87
983	5076	82
984	5081	77
985	5086	72
986	5091	67
987	5096	61
988	5101	56
989	5106	51
990	5111	46
991	5116	41
992	5121	36
993	5126	30
994	5132	25
995	5138	20
996	5144	15
997	5149	10
998	5155	5
999	5161	0
